word,cosine_to_ref,system
show,0.8094372153282166,C
message,0.8273126482963562,C
professor,0.8387023210525513,C
i,0.8392305970191956,C
in,0.8414115905761719,C
all,0.849829912185669,C
as,0.8511033654212952,C
to,0.855009138584137,C
for,0.8575730919837952,C
the,0.858730673789978,C
of,0.8592737317085266,C
this,0.8609172701835632,C
our,0.8615075349807739,C
you,0.8664467930793762,C
it,0.886336624622345,C
