word,cosine_to_ref,system
for,0.6767387986183167,B
show,0.6871252655982971,B
to,0.6935399174690247,B
our,0.7004927396774292,B
i,0.7136266827583313,B
professor,0.7161824703216553,B
message,0.7416030764579773,B
this,0.7437106966972351,B
all,0.7455329895019531,B
the,0.746126651763916,B
in,0.7577659487724304,B
of,0.7608657479286194,B
