word,cosine_to_ref,system
i,0.8255094885826111,A
message,0.844333291053772,A
for,0.8457696437835693,A
you,0.8516794443130493,A
professor,0.8600192070007324,A
to,0.861621618270874,A
as,0.8651348352432251,A
the,0.8674024939537048,A
of,0.8754529356956482,A
