word,cosine_to_ref,system
all,0.9933829307556152,C
and,0.9863506555557251,C
final,-0.015602275729179382,C
for,0.9960883259773254,C
i,0.9767963886260986,C
if,0.9980275630950928,C
last,0.07890227437019348,C
or,0.23231494426727295,C
the,0.9783645868301392,C
us,0.9941536784172058,C
we,-0.08450166881084442,C
were,0.15102814137935638,C
