word,cosine_to_ref,system
and,0.9937803149223328,A
for,0.9946352243423462,A
i,0.9658950567245483,A
if,0.9979293346405029,A
last,0.07779067754745483,A
the,0.9799382090568542,A
we,-0.008441328071057796,A
were,0.10440998524427414,A
