word,cosine_to_ref,system
and,-0.04324847459793091,B
final,0.9940027594566345,B
for,0.1783735305070877,B
i,0.0807415172457695,B
maybe,0.12582115828990936,B
or,0.0055688004940748215,B
the,0.9857566356658936,B
we,0.9838548898696899,B
were,0.9904268383979797,B
